date,category,subcategory,partner,amount (€),description
2025-05,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-05,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-05,House Bills,Therapy,Partner1,-150,Therapy session
2025-05,House Bills,Therapy,Partner2,-140,Therapy session
2025-05,House Bills,Education,Partner1,-100,Hebrew course
2025-05,House Bills,Education,Partner2,-100,Hebrew course
2025-05,House Bills,Commute,Both,-120,Transport
2025-05,House Bills,Other expenses,Both,-90,Miscellaneous
2025-05,House Bills,Water,Both,-30,Monthly water bill
2025-05,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-05,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-05,House Bills,Building Fee,Both,-40,Maintenance fee
2025-05,House Bills,Internet,Both,-35,Monthly internet bill
2025-05,House Bills,TV,Both,-25,Cable or streaming
2025-05,House Bills,Netflix,Both,-10,Subscription
2025-05,House Bills,Spotify,Both,-10,Subscription
2025-05,House Bills,Google One,Both,-2,Cloud storage
2025-05,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-05,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-05,Put aside,Savings,Both,500,Money saved this month
2025-06,Starting,Bank now,Partner1,4500,Balance at start
2025-06,Starting,Bank now,Partner2,3800,Balance at start
2025-06,Income,Salary,Partner1,3200,Salary June
2025-06,Income,Salary,Partner2,3000,Salary June
2025-06,Income,Others (one time income),Both,250,Refund
2025-06,Outcome,Rent,Both,-1200,Monthly rent
2025-06,Outcome,12 months avg credit card,Both,-400,Average CC payment
2025-06,House Bills,Supermarket,Both,-350,Grocery shopping
2025-06,,Hobbies & sports,Both,-50,Gym
2025-06,,Mobile phone,Both,-30,Mobile bills
2025-06,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-06,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-06,House Bills,Therapy,Partner1,-150,Therapy session
2025-06,House Bills,Therapy,Partner2,-140,Therapy session
2025-06,House Bills,Education,Partner1,-100,Hebrew course
2025-06,House Bills,Education,Partner2,-100,Hebrew course
2025-06,House Bills,Commute,Both,-120,Transport
2025-06,House Bills,Other expenses,Both,-90,Miscellaneous
2025-06,House Bills,Water,Both,-30,Monthly water bill
2025-06,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-06,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-06,House Bills,Building Fee,Both,-40,Maintenance fee
2025-06,House Bills,Internet,Both,-35,Monthly internet bill
2025-06,House Bills,TV,Both,-25,Cable or streaming
2025-06,House Bills,Netflix,Both,-10,Subscription
2025-06,House Bills,Spotify,Both,-10,Subscription
2025-06,House Bills,Google One,Both,-2,Cloud storage
2025-06,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-06,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-06,Put aside,Savings,Both,500,Money saved this month
2025-07,Starting,Bank now,Partner1,4500,Balance at start
2025-07,Starting,Bank now,Partner2,3800,Balance at start
2025-07,Income,Salary,Partner1,3200,Salary July
2025-07,Income,Salary,Partner2,3000,Salary July
2025-07,Income,Others (one time income),Both,250,Refund
2025-07,Outcome,Rent,Both,-1200,Monthly rent
2025-07,Outcome,12 months avg credit card,Both,-400,Average CC payment
2025-07,House Bills,Supermarket,Both,-350,Grocery shopping
2025-07,,Hobbies & sports,Both,-50,Gym
2025-07,,Mobile phone,Both,-30,Mobile bills
2025-07,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-07,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-07,House Bills,Therapy,Partner1,-150,Therapy session
2025-07,House Bills,Therapy,Partner2,-140,Therapy session
2025-07,House Bills,Education,Partner1,-100,Hebrew course
2025-07,House Bills,Education,Partner2,-100,Hebrew course
2025-07,House Bills,Commute,Both,-120,Transport
2025-07,House Bills,Other expenses,Both,-90,Miscellaneous
2025-07,House Bills,Water,Both,-30,Monthly water bill
2025-07,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-07,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-07,House Bills,Building Fee,Both,-40,Maintenance fee
2025-07,House Bills,Internet,Both,-35,Monthly internet bill
2025-07,House Bills,TV,Both,-25,Cable or streaming
2025-07,House Bills,Netflix,Both,-10,Subscription
2025-07,House Bills,Spotify,Both,-10,Subscription
2025-07,House Bills,Google One,Both,-2,Cloud storage
2025-07,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-07,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-07,Put aside,Savings,Both,500,Money saved this month
2025-08,Starting,Bank now,Partner1,4500,Balance at start
2025-08,Starting,Bank now,Partner2,3800,Balance at start
2025-08,Income,Salary,Partner1,3200,Salary August
2025-08,Income,Salary,Partner2,3000,Salary August
2025-08,Income,Others (one time income),Both,250,Refund
2025-08,Outcome,Rent,Both,-1200,Monthly rent
2025-08,Outcome,12 months avg credit card,Both,-400,Average CC payment
2025-08,House Bills,Supermarket,Both,-350,Grocery shopping
2025-08,,Hobbies & sports,Both,-50,Gym
2025-08,,Mobile phone,Both,-30,Mobile bills
2025-08,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-08,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-08,House Bills,Therapy,Partner1,-150,Therapy session
2025-08,House Bills,Therapy,Partner2,-140,Therapy session
2025-08,House Bills,Education,Partner1,-100,Hebrew course
2025-08,House Bills,Education,Partner2,-100,Hebrew course
2025-08,House Bills,Commute,Both,-120,Transport
2025-08,House Bills,Other expenses,Both,-90,Miscellaneous
2025-08,House Bills,Water,Both,-30,Monthly water bill
2025-08,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-08,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-08,House Bills,Building Fee,Both,-40,Maintenance fee
2025-08,House Bills,Internet,Both,-35,Monthly internet bill
2025-08,House Bills,TV,Both,-25,Cable or streaming
2025-08,House Bills,Netflix,Both,-10,Subscription
2025-08,House Bills,Spotify,Both,-10,Subscription
2025-08,House Bills,Google One,Both,-2,Cloud storage
2025-08,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-08,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-08,Put aside,Savings,Both,500,Money saved this month
2025-09,Starting,Bank now,Partner1,4500,Balance at start
2025-09,Starting,Bank now,Partner2,3800,Balance at start
2025-09,Income,Salary,Partner1,3200,Salary September
2025-09,Income,Salary,Partner2,3000,Salary September
2025-09,Income,Others (one time income),Both,250,Refund
2025-09,Outcome,Rent,Both,-1200,Monthly rent
2025-09,Outcome,12 months avg credit card,Both,-400,Average CC payment
2025-09,House Bills,Supermarket,Both,-350,Grocery shopping
2025-09,,Hobbies & sports,Both,-50,Gym
2025-09,,Mobile phone,Both,-30,Mobile bills
2025-09,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-09,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-09,House Bills,Therapy,Partner1,-150,Therapy session
2025-09,House Bills,Therapy,Partner2,-140,Therapy session
2025-09,House Bills,Education,Partner1,-100,Hebrew course
2025-09,House Bills,Education,Partner2,-100,Hebrew course
2025-09,House Bills,Commute,Both,-120,Transport
2025-09,House Bills,Other expenses,Both,-90,Miscellaneous
2025-09,House Bills,Water,Both,-30,Monthly water bill
2025-09,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-09,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-09,House Bills,Building Fee,Both,-40,Maintenance fee
2025-09,House Bills,Internet,Both,-35,Monthly internet bill
2025-09,House Bills,TV,Both,-25,Cable or streaming
2025-09,House Bills,Netflix,Both,-10,Subscription
2025-09,House Bills,Spotify,Both,-10,Subscription
2025-09,House Bills,Google One,Both,-2,Cloud storage
2025-09,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-09,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-09,Put aside,Savings,Both,500,Money saved this month
2025-10,Starting,Bank now,Partner1,4500,Balance at start
2025-10,Starting,Bank now,Partner2,3800,Balance at start
2025-10,Income,Salary,Partner1,3200,Salary October
2025-10,Income,Salary,Partner2,3000,Salary October
2025-10,Income,Others (one time income),Both,250,Refund
2025-10,Outcome,Rent,Both,-1200,Monthly rent
2025-10,Outcome,12 months avg credit card,Both,-400,Average CC payment
2025-10,House Bills,Supermarket,Both,-350,Grocery shopping
2025-10,,Hobbies & sports,Both,-50,Gym
2025-10,,Mobile phone,Both,-30,Mobile bills
2025-10,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-10,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-10,House Bills,Therapy,Partner1,-150,Therapy session
2025-10,House Bills,Therapy,Partner2,-140,Therapy session
2025-10,House Bills,Education,Partner1,-100,Hebrew course
2025-10,House Bills,Education,Partner2,-100,Hebrew course
2025-10,House Bills,Commute,Both,-120,Transport
2025-10,House Bills,Other expenses,Both,-90,Miscellaneous
2025-10,House Bills,Water,Both,-30,Monthly water bill
2025-10,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-10,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-10,House Bills,Building Fee,Both,-40,Maintenance fee
2025-10,House Bills,Internet,Both,-35,Monthly internet bill
2025-10,House Bills,TV,Both,-25,Cable or streaming
2025-10,House Bills,Netflix,Both,-10,Subscription
2025-10,House Bills,Spotify,Both,-10,Subscription
2025-10,House Bills,Google One,Both,-2,Cloud storage
2025-10,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-10,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-10,Put aside,Savings,Both,500,Money saved this month
2025-11,Starting,Bank now,Partner1,4500,Balance at start
2025-11,Starting,Bank now,Partner2,3800,Balance at start
2025-11,Income,Salary,Partner1,3200,Salary November
2025-11,Income,Salary,Partner2,3000,Salary November
2025-11,Income,Others (one time income),Both,250,Refund
2025-11,Outcome,Rent,Both,-1200,Monthly rent
2025-11,Outcome,12 months avg credit card,Both,-400,Average CC payment
2025-11,House Bills,Supermarket,Both,-350,Grocery shopping
2025-11,,Hobbies & sports,Both,-50,Gym
2025-11,,Mobile phone,Both,-30,Mobile bills
2025-11,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-11,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-11,House Bills,Therapy,Partner1,-150,Therapy session
2025-11,House Bills,Therapy,Partner2,-140,Therapy session
2025-11,House Bills,Education,Partner1,-100,Hebrew course
2025-11,House Bills,Education,Partner2,-100,Hebrew course
2025-11,House Bills,Commute,Both,-120,Transport
2025-11,House Bills,Other expenses,Both,-90,Miscellaneous
2025-11,House Bills,Water,Both,-30,Monthly water bill
2025-11,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-11,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-11,House Bills,Building Fee,Both,-40,Maintenance fee
2025-11,House Bills,Internet,Both,-35,Monthly internet bill
2025-11,House Bills,TV,Both,-25,Cable or streaming
2025-11,House Bills,Netflix,Both,-10,Subscription
2025-11,House Bills,Spotify,Both,-10,Subscription
2025-11,House Bills,Google One,Both,-2,Cloud storage
2025-11,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-11,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-11,Put aside,Savings,Both,500,Money saved this month
2025-12,Starting,Bank now,Partner1,4500,Balance at start
2025-12,Starting,Bank now,Partner2,3800,Balance at start
2025-12,Income,Salary,Partner1,3200,Salary December
2025-12,Income,Salary,Partner2,3000,Salary December
2025-12,Income,Others (one time income),Both,250,Refund
2025-12,Outcome,Rent,Both,-1200,Monthly rent
2025-12,Outcome,12 months avg credit card,Both,-400,Average CC payment
2025-12,House Bills,Supermarket,Both,-350,Grocery shopping
2025-12,,Hobbies & sports,Both,-50,Gym
2025-12,,Mobile phone,Both,-30,Mobile bills
2025-12,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2025-12,House Bills,Cleaner,Both,-80,Monthly cleaning service
2025-12,House Bills,Therapy,Partner1,-150,Therapy session
2025-12,House Bills,Therapy,Partner2,-140,Therapy session
2025-12,House Bills,Education,Partner1,-100,Hebrew course
2025-12,House Bills,Education,Partner2,-100,Hebrew course
2025-12,House Bills,Commute,Both,-120,Transport
2025-12,House Bills,Other expenses,Both,-90,Miscellaneous
2025-12,House Bills,Water,Both,-30,Monthly water bill
2025-12,House Bills,Electricity,Both,-60,Monthly electricity bill
2025-12,House Bills,Arnona / house fees,Both,-100,Municipal tax
2025-12,House Bills,Building Fee,Both,-40,Maintenance fee
2025-12,House Bills,Internet,Both,-35,Monthly internet bill
2025-12,House Bills,TV,Both,-25,Cable or streaming
2025-12,House Bills,Netflix,Both,-10,Subscription
2025-12,House Bills,Spotify,Both,-10,Subscription
2025-12,House Bills,Google One,Both,-2,Cloud storage
2025-12,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2025-12,Commute,Couple car rental,Both,-100,Weekend trip rental
2025-12,Put aside,Savings,Both,500,Money saved this month
